2025-06-01T18:19:07.374013
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300141 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 0.011012 | Test accuracy (task 1): 28.47% | Batch: 400
Training loss: 0.025196 | Test accuracy (task 1): 28.03% | Batch: 425
Training loss: 0.011936 | Test accuracy (task 1): 26.95% | Batch: 450
Training loss: 0.009123 | Test accuracy (task 1): 26.90% | Batch: 475
==================== Training on task 3 ====================
Training loss: 8.471243 | Test accuracy (task 1): 26.53% | Batch: 0
Training loss: 0.209204 | Test accuracy (task 1): 27.38% | Batch: 25
Training loss: 0.131202 | Test accuracy (task 1): 28.12% | Batch: 50
Training loss: 0.103151 | Test accuracy (task 1): 30.57% | Batch: 75
Training loss: 0.067161 | Test accuracy (task 1): 30.53% | Batch: 100
Training loss: 0.064015 | Test accuracy (task 1): 27.54% | Batch: 125
Training loss: 0.045083 | Test accuracy (task 1): 33.14% | Batch: 150
Training loss: 0.047757 | Test accuracy (task 1): 33.33% | Batch: 175
Training loss: 0.042713 | Test accuracy (task 1): 35.84% | Batch: 200
Training loss: 0.035567 | Test accuracy (task 1): 31.54% | Batch: 225
Training loss: 0.033979 | Test accuracy (task 1): 30.70% | Batch: 250
Training loss: 0.029903 | Test accuracy (task 1): 32.16% | Batch: 275
Training loss: 0.017870 | Test accuracy (task 1): 33.72% | Batch: 300
Training loss: 0.021739 | Test accuracy (task 1): 34.54% | Batch: 325
Training loss: 0.011098 | Test accuracy (task 1): 35.09% | Batch: 350
Training loss: 0.019054 | Test accuracy (task 1): 32.62% | Batch: 375
Training loss: 0.012527 | Test accuracy (task 1): 33.82% | Batch: 400
Training loss: 0.014753 | Test accuracy (task 1): 35.74% | Batch: 425
Training loss: 0.011294 | Test accuracy (task 1): 30.31% | Batch: 450
Training loss: 0.018381 | Test accuracy (task 1): 32.39% | Batch: 475
Experiment 2 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 3~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.529279 | Test accuracy (task 1): 13.33% | Batch: 0
Training loss: 0.470209 | Test accuracy (task 1): 93.36% | Batch: 25
Training loss: 0.336256 | Test accuracy (task 1): 96.14% | Batch: 50
Training loss: 0.234791 | Test accuracy (task 1): 96.48% | Batch: 75
Training loss: 0.196671 | Test accuracy (task 1): 97.85% | Batch: 100
Training loss: 0.198605 | Test accuracy (task 1): 96.92% | Batch: 125
Training loss: 0.157089 | Test accuracy (task 1): 97.56% | Batch: 150
Training loss: 0.130535 | Test accuracy (task 1): 98.14% | Batch: 175
Training loss: 0.143683 | Test accuracy (task 1): 98.29% | Batch: 200
Training loss: 0.110482 | Test accuracy (task 1): 98.24% | Batch: 225
Training loss: 0.095784 | Test accuracy (task 1): 97.90% | Batch: 250
Training loss: 0.118917 | Test accuracy (task 1): 98.05% | Batch: 275
Training loss: 0.097112 | Test accuracy (task 1): 97.80% | Batch: 300
Training loss: 0.087382 | Test accuracy (task 1): 97.85% | Batch: 325
Training loss: 0.080611 | Test accuracy (task 1): 97.31% | Batch: 350
Training loss: 0.083842 | Test accuracy (task 1): 98.39% | Batch: 375
Training loss: 0.065317 | Test accuracy (task 1): 97.90% | Batch: 400
Training loss: 0.070650 | Test accuracy (task 1): 97.80% | Batch: 425
Training loss: 0.059714 | Test accuracy (task 1): 97.80% | Batch: 450
Training loss: 0.060465 | Test accuracy (task 1): 97.80% | Batch: 475
==================== Training on task 2 ====================
Training loss: 4.114174 | Test accuracy (task 1): 97.75% | Batch: 0
Training loss: 0.256260 | Test accuracy (task 1): 53.61% | Batch: 25
Training loss: 0.204884 | Test accuracy (task 1): 48.29% | Batch: 50
Training loss: 0.155598 | Test accuracy (task 1): 43.95% | Batch: 75
Training loss: 0.146688 | Test accuracy (task 1): 39.06% | Batch: 100
Training loss: 0.140315 | Test accuracy (task 1): 37.99% | Batch: 125
Training loss: 0.109094 | Test accuracy (task 1): 37.55% | Batch: 150
Training loss: 0.104102 | Test accuracy (task 1): 34.33% | Batch: 175
Training loss: 0.092185 | Test accuracy (task 1): 34.96% | Batch: 200
Training loss: 0.102447 | Test accuracy (task 1): 33.01% | Batch: 225
Training loss: 0.086810 | Test accuracy (task 1): 34.91% | Batch: 250
Training loss: 0.072294 | Test accuracy (task 1): 37.55% | Batch: 275
Training loss: 0.075180 | Test accuracy (task 1): 36.96% | Batch: 300
Training loss: 0.075009 | Test accuracy (task 1): 32.67% | Batch: 325
Training loss: 0.060779 | Test accuracy (task 1): 34.47% | Batch: 350
Training loss: 0.059724 | Test accuracy (task 1): 35.89% | Batch: 375
Training loss: 0.059306 | Test accuracy (task 1): 33.20% | Batch: 400
Training loss: 0.063396 | Test accuracy (task 1): 37.01% | Batch: 425
Training loss: 0.054188 | Test accuracy (task 1): 34.33% | Batch: 450
Training loss: 0.050552 | Test accuracy (task 1): 33.64% | Batch: 475
==================== Training on task 3 ====================
Training loss: 3.946119 | Test accuracy (task 1): 36.26% | Batch: 0
Training loss: 0.308024 | Test accuracy (task 1): 31.97% | Batch: 25
Training loss: 0.216604 | Test accuracy (task 1): 34.54% | Batch: 50
Training loss: 0.157177 | Test accuracy (task 1): 36.30% | Batch: 75
Training loss: 0.143916 | Test accuracy (task 1): 35.81% | Batch: 100
Training loss: 0.123816 | Test accuracy (task 1): 36.65% | Batch: 125
Training loss: 0.104122 | Test accuracy (task 1): 32.58% | Batch: 150
Training loss: 0.091781 | Test accuracy (task 1): 37.73% | Batch: 175
Training loss: 0.090325 | Test accuracy (task 1): 37.50% | Batch: 200
Training loss: 0.081977 | Test accuracy (task 1): 35.19% | Batch: 225
Training loss: 0.080240 | Test accuracy (task 1): 35.77% | Batch: 250
Training loss: 0.072519 | Test accuracy (task 1): 35.58% | Batch: 275
Training loss: 0.071780 | Test accuracy (task 1): 36.43% | Batch: 300
Training loss: 0.069565 | Test accuracy (task 1): 36.82% | Batch: 325
Training loss: 0.061802 | Test accuracy (task 1): 34.47% | Batch: 350
Training loss: 0.060231 | Test accuracy (task 1): 36.20% | Batch: 375
Training loss: 0.055393 | Test accuracy (task 1): 36.07% | Batch: 400
Training loss: 0.056431 | Test accuracy (task 1): 36.46% | Batch: 425
Training loss: 0.051421 | Test accuracy (task 1): 35.42% | Batch: 450
Training loss: 0.050035 | Test accuracy (task 1): 36.91% | Batch: 475
Experiment 3 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 4~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.529576 | Test accuracy (task 1): 09.77% | Batch: 0
Training loss: 0.507379 | Test accuracy (task 1): 93.95% | Batch: 25
Training loss: 0.306381 | Test accuracy (task 1): 96.14% | Batch: 50
Training loss: 0.242681 | Test accuracy (task 1): 96.68% | Batch: 75
Training loss: 0.201312 | Test accuracy (task 1): 97.56% | Batch: 100
Training loss: 0.184203 | Test accuracy (task 1): 97.41% | Batch: 125
Training loss: 0.180816 | Test accuracy (task 1): 97.31% | Batch: 150
Training loss: 0.139756 | Test accuracy (task 1): 97.56% | Batch: 175
Training loss: 0.117154 | Test accuracy (task 1): 97.71% | Batch: 200
Training loss: 0.112161 | Test accuracy (task 1): 97.56% | Batch: 225
Training loss: 0.104439 | Test accuracy (task 1): 97.61% | Batch: 250
Training loss: 0.093768 | Test accuracy (task 1): 97.61% | Batch: 275
Training loss: 0.079741 | Test accuracy (task 1): 98.29% | Batch: 300
Training loss: 0.098594 | Test accuracy (task 1): 98.14% | Batch: 325
Training loss: 0.075575 | Test accuracy (task 1): 98.19% | Batch: 350
Training loss: 0.084688 | Test accuracy (task 1): 98.00% | Batch: 375
Training loss: 0.065656 | Test accuracy (task 1): 97.71% | Batch: 400
Training loss: 0.061956 | Test accuracy (task 1): 97.90% | Batch: 425
Training loss: 0.078944 | Test accuracy (task 1): 97.75% | Batch: 450
Training loss: 0.071973 | Test accuracy (task 1): 97.51% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.330493 | Test accuracy (task 1): 97.61% | Batch: 0
Training loss: 0.234155 | Test accuracy (task 1): 96.83% | Batch: 25
Training loss: 0.194811 | Test accuracy (task 1): 96.88% | Batch: 50
Training loss: 0.178884 | Test accuracy (task 1): 97.41% | Batch: 75
Training loss: 0.148980 | Test accuracy (task 1): 97.12% | Batch: 100
Training loss: 0.135157 | Test accuracy (task 1): 97.46% | Batch: 125
Training loss: 0.117069 | Test accuracy (task 1): 97.56% | Batch: 150
Training loss: 0.108318 | Test accuracy (task 1): 97.56% | Batch: 175
Training loss: 0.100834 | Test accuracy (task 1): 97.51% | Batch: 200
Training loss: 0.109844 | Test accuracy (task 1): 96.92% | Batch: 225
Training loss: 0.090259 | Test accuracy (task 1): 97.90% | Batch: 250
Training loss: 0.088561 | Test accuracy (task 1): 97.27% | Batch: 275
Training loss: 0.076955 | Test accuracy (task 1): 97.56% | Batch: 300
Training loss: 0.091505 | Test accuracy (task 1): 97.51% | Batch: 325
Training loss: 0.069880 | Test accuracy (task 1): 97.46% | Batch: 350
Training loss: 0.069999 | Test accuracy (task 1): 97.27% | Batch: 375
Training loss: 0.074982 | Test accuracy (task 1): 97.71% | Batch: 400
Training loss: 0.067912 | Test accuracy (task 1): 97.17% | Batch: 425
Training loss: 0.058495 | Test accuracy (task 1): 97.56% | Batch: 450
Training loss: 0.066684 | Test accuracy (task 1): 97.85% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.229409 | Test accuracy (task 1): 97.43% | Batch: 0
Training loss: 0.202116 | Test accuracy (task 1): 96.42% | Batch: 25
Training loss: 0.170130 | Test accuracy (task 1): 97.46% | Batch: 50
Training loss: 0.160076 | Test accuracy (task 1): 96.74% | Batch: 75
Training loss: 0.137947 | Test accuracy (task 1): 96.71% | Batch: 100
Training loss: 0.133999 | Test accuracy (task 1): 96.81% | Batch: 125
Training loss: 0.129712 | Test accuracy (task 1): 97.69% | Batch: 150
Training loss: 0.098573 | Test accuracy (task 1): 97.36% | Batch: 175
Training loss: 0.102180 | Test accuracy (task 1): 97.59% | Batch: 200
Training loss: 0.101365 | Test accuracy (task 1): 97.04% | Batch: 225
Training loss: 0.083868 | Test accuracy (task 1): 97.10% | Batch: 250
Training loss: 0.081539 | Test accuracy (task 1): 97.30% | Batch: 275
Training loss: 0.082323 | Test accuracy (task 1): 97.59% | Batch: 300
Training loss: 0.075266 | Test accuracy (task 1): 97.62% | Batch: 325
Training loss: 0.084186 | Test accuracy (task 1): 97.43% | Batch: 350
Training loss: 0.073147 | Test accuracy (task 1): 96.74% | Batch: 375
Training loss: 0.069409 | Test accuracy (task 1): 97.49% | Batch: 400
Training loss: 0.059485 | Test accuracy (task 1): 97.33% | Batch: 425
Training loss: 0.074292 | Test accuracy (task 1): 97.20% | Batch: 450
Training loss: 0.069469 | Test accuracy (task 1): 97.17% | Batch: 475
Experiment 4 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 5~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.303122 | Test accuracy (task 1): 10.64% | Batch: 0
Training loss: 0.345973 | Test accuracy (task 1): 90.92% | Batch: 25
Training loss: 0.214370 | Test accuracy (task 1): 94.87% | Batch: 50
Training loss: 0.191190 | Test accuracy (task 1): 94.92% | Batch: 75
Training loss: 0.140084 | Test accuracy (task 1): 96.88% | Batch: 100
Training loss: 0.131026 | Test accuracy (task 1): 96.68% | Batch: 125
Training loss: 0.075227 | Test accuracy (task 1): 96.97% | Batch: 150
Training loss: 0.087529 | Test accuracy (task 1): 97.17% | Batch: 175
Training loss: 0.063374 | Test accuracy (task 1): 97.46% | Batch: 200
Training loss: 0.067746 | Test accuracy (task 1): 97.95% | Batch: 225
Training loss: 0.046413 | Test accuracy (task 1): 97.46% | Batch: 250
Training loss: 0.037625 | Test accuracy (task 1): 97.41% | Batch: 275
Training loss: 0.042970 | Test accuracy (task 1): 97.75% | Batch: 300
Training loss: 0.047600 | Test accuracy (task 1): 98.24% | Batch: 325
Training loss: 0.025985 | Test accuracy (task 1): 98.24% | Batch: 350
Training loss: 0.032322 | Test accuracy (task 1): 98.73% | Batch: 375
Training loss: 0.035990 | Test accuracy (task 1): 97.46% | Batch: 400
Training loss: 0.044428 | Test accuracy (task 1): 98.05% | Batch: 425
Training loss: 0.026260 | Test accuracy (task 1): 97.85% | Batch: 450
Training loss: 0.030834 | Test accuracy (task 1): 98.58% | Batch: 475
==================== Training on task 2 ====================
Training loss: 3.395611 | Test accuracy (task 1): 97.95% | Batch: 0
Training loss: 0.199819 | Test accuracy (task 1): 96.14% | Batch: 25
Training loss: 0.099245 | Test accuracy (task 1): 97.07% | Batch: 50
Training loss: 0.114638 | Test accuracy (task 1): 97.71% | Batch: 75
Training loss: 0.102520 | Test accuracy (task 1): 97.71% | Batch: 100
Training loss: 0.093863 | Test accuracy (task 1): 97.80% | Batch: 125
Training loss: 0.069278 | Test accuracy (task 1): 97.80% | Batch: 150
Training loss: 0.060263 | Test accuracy (task 1): 97.61% | Batch: 175
Training loss: 0.057280 | Test accuracy (task 1): 98.00% | Batch: 200
Training loss: 0.043178 | Test accuracy (task 1): 97.90% | Batch: 225
Training loss: 0.039310 | Test accuracy (task 1): 98.14% | Batch: 250
Training loss: 0.043213 | Test accuracy (task 1): 98.29% | Batch: 275
Training loss: 0.036177 | Test accuracy (task 1): 98.34% | Batch: 300
Training loss: 0.035735 | Test accuracy (task 1): 98.29% | Batch: 325
Training loss: 0.034066 | Test accuracy (task 1): 98.10% | Batch: 350
Training loss: 0.026456 | Test accuracy (task 1): 98.14% | Batch: 375
Training loss: 0.024855 | Test accuracy (task 1): 98.19% | Batch: 400
Training loss: 0.024744 | Test accuracy (task 1): 98.88% | Batch: 425
Training loss: 0.025400 | Test accuracy (task 1): 98.00% | Batch: 450
Training loss: 0.020756 | Test accuracy (task 1): 98.00% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.631902 | Test accuracy (task 1): 98.40% | Batch: 0
Training loss: 0.142790 | Test accuracy (task 1): 96.84% | Batch: 25
Training loss: 0.099541 | Test accuracy (task 1): 97.14% | Batch: 50
Training loss: 0.080298 | Test accuracy (task 1): 97.62% | Batch: 75
Training loss: 0.066362 | Test accuracy (task 1): 97.75% | Batch: 100
Training loss: 0.053472 | Test accuracy (task 1): 97.49% | Batch: 125
Training loss: 0.050755 | Test accuracy (task 1): 97.95% | Batch: 150
Training loss: 0.039098 | Test accuracy (task 1): 97.72% | Batch: 175
Training loss: 0.048803 | Test accuracy (task 1): 98.08% | Batch: 200
Training loss: 0.051735 | Test accuracy (task 1): 97.43% | Batch: 225
Training loss: 0.032218 | Test accuracy (task 1): 98.05% | Batch: 250
Training loss: 0.028288 | Test accuracy (task 1): 97.59% | Batch: 275
Training loss: 0.031100 | Test accuracy (task 1): 97.95% | Batch: 300
Training loss: 0.028205 | Test accuracy (task 1): 98.27% | Batch: 325
Training loss: 0.027342 | Test accuracy (task 1): 97.79% | Batch: 350
Training loss: 0.023646 | Test accuracy (task 1): 98.14% | Batch: 375
Training loss: 0.020252 | Test accuracy (task 1): 97.82% | Batch: 400
Training loss: 0.018374 | Test accuracy (task 1): 97.53% | Batch: 425
Training loss: 0.025171 | Test accuracy (task 1): 97.85% | Batch: 450
Training loss: 0.018055 | Test accuracy (task 1): 98.11% | Batch: 475
Experiment 5 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 6~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 3.530951 | Test accuracy (task 1): 08.94% | Batch: 0
Training loss: 1.414471 | Test accuracy (task 1): 71.14% | Batch: 25
Training loss: 0.604667 | Test accuracy (task 1): 92.92% | Batch: 50
Training loss: 0.435265 | Test accuracy (task 1): 95.26% | Batch: 75
Training loss: 0.377631 | Test accuracy (task 1): 95.75% | Batch: 100
Training loss: 0.317547 | Test accuracy (task 1): 96.09% | Batch: 125
Training loss: 0.295980 | Test accuracy (task 1): 97.07% | Batch: 150
Training loss: 0.270118 | Test accuracy (task 1): 96.73% | Batch: 175
Training loss: 0.238813 | Test accuracy (task 1): 96.83% | Batch: 200
Training loss: 0.218605 | Test accuracy (task 1): 97.27% | Batch: 225
Training loss: 0.187564 | Test accuracy (task 1): 97.27% | Batch: 250
Training loss: 0.198693 | Test accuracy (task 1): 97.27% | Batch: 275
Training loss: 0.167548 | Test accuracy (task 1): 97.75% | Batch: 300
Training loss: 0.151889 | Test accuracy (task 1): 97.17% | Batch: 325
Training loss: 0.167426 | Test accuracy (task 1): 97.12% | Batch: 350
Training loss: 0.141382 | Test accuracy (task 1): 96.44% | Batch: 375
Training loss: 0.153697 | Test accuracy (task 1): 97.90% | Batch: 400
Training loss: 0.142682 | Test accuracy (task 1): 97.12% | Batch: 425
Training loss: 0.151963 | Test accuracy (task 1): 97.22% | Batch: 450
Training loss: 0.115940 | Test accuracy (task 1): 96.88% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.009394 | Test accuracy (task 1): 96.88% | Batch: 0
Training loss: 0.385197 | Test accuracy (task 1): 95.36% | Batch: 25
Training loss: 0.303326 | Test accuracy (task 1): 95.95% | Batch: 50
Training loss: 0.261430 | Test accuracy (task 1): 96.58% | Batch: 75
Training loss: 0.235463 | Test accuracy (task 1): 96.63% | Batch: 100
Training loss: 0.234126 | Test accuracy (task 1): 96.88% | Batch: 125
Training loss: 0.201037 | Test accuracy (task 1): 97.22% | Batch: 150
Training loss: 0.203551 | Test accuracy (task 1): 97.02% | Batch: 175
Training loss: 0.192650 | Test accuracy (task 1): 96.92% | Batch: 200
Training loss: 0.178259 | Test accuracy (task 1): 96.97% | Batch: 225
Training loss: 0.184295 | Test accuracy (task 1): 96.58% | Batch: 250
Training loss: 0.160892 | Test accuracy (task 1): 96.83% | Batch: 275
Training loss: 0.183947 | Test accuracy (task 1): 95.85% | Batch: 300
Training loss: 0.157185 | Test accuracy (task 1): 96.97% | Batch: 325
Training loss: 0.142645 | Test accuracy (task 1): 97.27% | Batch: 350
Training loss: 0.142779 | Test accuracy (task 1): 96.73% | Batch: 375
Training loss: 0.153832 | Test accuracy (task 1): 96.34% | Batch: 400
Training loss: 0.149148 | Test accuracy (task 1): 96.19% | Batch: 425
Training loss: 0.135273 | Test accuracy (task 1): 96.58% | Batch: 450
Training loss: 0.131476 | Test accuracy (task 1): 97.12% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.146473 | Test accuracy (task 1): 96.39% | Batch: 0
Training loss: 0.331193 | Test accuracy (task 1): 95.28% | Batch: 25
Training loss: 0.252456 | Test accuracy (task 1): 96.42% | Batch: 50
Training loss: 0.244283 | Test accuracy (task 1): 95.74% | Batch: 75
Training loss: 0.248308 | Test accuracy (task 1): 96.48% | Batch: 100
Training loss: 0.215027 | Test accuracy (task 1): 96.22% | Batch: 125
Training loss: 0.188684 | Test accuracy (task 1): 96.58% | Batch: 150
Training loss: 0.197869 | Test accuracy (task 1): 96.32% | Batch: 175
Training loss: 0.169017 | Test accuracy (task 1): 95.96% | Batch: 200
Training loss: 0.190659 | Test accuracy (task 1): 96.42% | Batch: 225
Training loss: 0.181173 | Test accuracy (task 1): 96.94% | Batch: 250
Training loss: 0.168693 | Test accuracy (task 1): 96.16% | Batch: 275
Training loss: 0.184164 | Test accuracy (task 1): 96.48% | Batch: 300
Training loss: 0.162303 | Test accuracy (task 1): 96.68% | Batch: 325
Training loss: 0.159389 | Test accuracy (task 1): 96.68% | Batch: 350
